,ID,Grade,Term_GPA,Course,Name,Age,Attendance,Gender,Latino,Race,Professor,ZIP,LAT,LNG,id
20,18000048,2.0,1.9,WRI 100,College Composition I,18,68.89%,3,Yes,2,Tricia Woodward,90220,33.88151,-118.234451,90
21,18000048,1.0,0.0,MTH 100,College Algebra,18,83.33%,3,Yes,2,Kelly DeGrassie,90220,33.88151,-118.234451,57
22,18000048,1.7,0.0,THE 105,New Testament,18,0%,3,Yes,2,Robert Fortuin,90220,33.88151,-118.234451,83
23,18000048,0.0,0.0,WRI 105,College Composition II,18,66.67%,3,Yes,2,Evan Getz,90220,33.88151,-118.234451,25
24,18000048,0.0,0.0,KIN 100,Fundamentals of Nutrition,18,50%,3,Yes,2,Jessica Rodriguez,90220,33.88151,-118.234451,40
25,2016000002,3.3,2.78,FRS 100,Freshman Seminar,20,100%,2,No,1,Breann Williams,92065,33.053005999999996,-116.850651,12
26,2016000002,2.3,2.78,INT 100,Interdisciplinary Studies,20,94.12%,2,No,1,Gaelan Gilbert,92065,33.053005999999996,-116.850651,28
27,2016000002,2.0,2.78,MGT 100,Foundations of Business,20,100%,2,No,1,Nemanja Selezan,92065,33.053005999999996,-116.850651,76
29,2016000002,4.0,2.78,WRI 100,College Composition I,20,96.15%,2,No,1,Kathryn Belsey,92065,33.053005999999996,-116.850651,54
31,2016000002,2.7,2.78,ECO 115,Principles of Macroeconomics,20,100%,2,No,1,Radu Munteanu,92065,33.053005999999996,-116.850651,81
32,2016000002,2.3,3.25,ECO 110,Principles of Microeconomics,20,96.67%,2,No,1,Darijo Banjac,92065,33.053005999999996,-116.850651,17
33,2016000002,2.7,3.25,HIS 200,Special Topics: Civil War and Reconstruction Era,20,100%,2,No,1,Breann Williams,92065,33.053005999999996,-116.850651,12
34,2016000002,4.0,3.25,INT 110,Critical Reasoning,20,93.10%,2,No,1,Garrett Miller,92065,33.053005999999996,-116.850651,29
35,2016000002,4.0,3.25,WRI 105,College Composition II,20,94.12%,2,No,1,Min Lee,92065,33.053005999999996,-116.850651,71
37,2016000002,2.3,2.72,ACC 220,Financial Accounting,20,96.55%,2,No,1,Darijo Banjac,92065,33.053005999999996,-116.850651,17
38,2016000002,3.7,2.72,INT 200,Classical Rhetoric,20,96.30%,2,No,1,Evan Getz,92065,33.053005999999996,-116.850651,25
39,2016000002,2.3,2.72,SPA 100,Spanish I,20,100%,2,No,1,David Orozco,92065,33.053005999999996,-116.850651,19
41,2016000002,2.7,2.72,MGT 270,Management Information Systems,20,0%,2,No,1,Goncalo Mendes,92065,33.053005999999996,-116.850651,32
42,2016000002,4.0,3.3,ACC 230,Managerial Accounting,20,100%,2,No,1,Darijo Banjac,92065,33.053005999999996,-116.850651,17
43,2016000002,3.7,3.3,INT 210,Western Civilization &amp; the Formation of Christendom,20,100%,2,No,1,David Williams,92065,33.053005999999996,-116.850651,20
44,2016000002,3.0,3.3,MGT 315,Organizational Behavior,20,94.12%,2,No,1,Thomas Smith,92065,33.053005999999996,-116.850651,89
45,2016000002,2.7,3.3,SPA 105,Spanish II,20,100%,2,No,1,David Orozco,92065,33.053005999999996,-116.850651,19
47,2016000002,4.0,3.88,BUS 305,Business Law,20,93.33%,2,No,1,Donald Armento,92065,33.053005999999996,-116.850651,23
48,2016000002,4.0,3.88,COM 105,Oral Communication,20,96%,2,No,1,Jim Getman,92065,33.053005999999996,-116.850651,41
49,2016000002,3.7,3.88,INT 300,Ethics,20,80%,2,No,1,Garrett Miller,92065,33.053005999999996,-116.850651,29
50,2016000002,4.0,3.88,MGT 320,HR and Talent Management,20,95.92%,2,No,1,Jim Getman,92065,33.053005999999996,-116.850651,41
51,2016000002,3.7,3.88,MKT 320,Marketing Management,20,97.06%,2,No,1,Diana Sifford,92065,33.053005999999996,-116.850651,22
52,2016000002,4.0,3.88,Chapel,Chapel,20,100%,2,No,1,John Reimann,92065,33.053005999999996,-116.850651,46
53,2016000002,0.0,0.0,BUS 310,Business Leadership,20,100%,2,No,1,Diana Sifford,92065,33.053005999999996,-116.850651,22
54,2016000002,0.0,0.0,BUS 320,Quantitative Analysis for Management,20,100%,2,No,1,Christos Korgan,92065,33.053005999999996,-116.850651,15
55,2016000002,4.0,0.0,COM 315,Communication Theory,20,100%,2,No,1,Jim Getman,92065,33.053005999999996,-116.850651,41
56,2016000002,0.0,0.0,KIN 100,Fundamentals of Nutrition,20,83.33%,2,No,1,Jessica Rodriguez,92065,33.053005999999996,-116.850651,40
57,2016000002,4.0,0.0,Chapel,Chapel,20,0%,2,No,1,John Reimann,92065,33.053005999999996,-116.850651,46
58,2016000002,4.0,0.0,INT 310,Modern European Thought &amp; Culture,20,0%,2,No,1,Evan Getz,92065,33.053005999999996,-116.850651,25
59,2016000003,1.7,1.64,BIO 105,Introductory Biology I and LAB,23,100%,3,Yes,1,Andrew Nosal,90260,33.88856,-118.35181299999999,6
61,2016000003,2.0,1.64,CHE 105,General Chemistry I and LAB,23,100%,3,Yes,1,Geoff Bray,90260,33.88856,-118.35181299999999,31
62,2016000003,2.7,1.64,INT 200,Classical Rhetoric,23,88.24%,3,Yes,1,Gaelan Gilbert,90260,33.88856,-118.35181299999999,28
63,2016000003,0.0,1.64,PSY 150,Introduction to Psychology,23,81.40%,3,Yes,1,Peter Fellios,90260,33.88856,-118.35181299999999,80
64,2016000003,1.0,1.08,HIS 200,Special Topics: Civil War and Reconstruction Era,23,85.71%,3,Yes,1,Breann Williams,90260,33.88856,-118.35181299999999,12
65,2016000003,0.0,1.08,THE 105,New Testament,23,85.71%,3,Yes,1,Josiah Trenham,90260,33.88856,-118.35181299999999,52
66,2016000003,0.0,1.08,INT 210,Western Civilization &amp; the Formation of Christendom,23,65.63%,3,Yes,1,David Williams,90260,33.88856,-118.35181299999999,20
67,2016000003,3.7,1.08,MTH 100,College Algebra,23,100%,3,Yes,1,Michael Reedy,90260,33.88856,-118.35181299999999,67
69,2016000003,0.0,1.08,SPA 105,Spanish II,23,88.89%,3,Yes,1,David Orozco,90260,33.88856,-118.35181299999999,19
71,2016000004,4.0,4.0,ACC 220,Financial Accounting,27,95.83%,2,No,1,Darijo Banjac,92057,33.254619,-117.283341,17
72,2016000004,4.0,4.0,ECO 115,Principles of Macroeconomics,27,100%,2,No,1,Radu Munteanu,92057,33.254619,-117.283341,81
73,2016000004,4.0,4.0,INT 300,Ethics,27,90.24%,2,No,1,Garrett Miller,92057,33.254619,-117.283341,29
74,2016000004,4.0,4.0,MGT 100,Foundations of Business,27,82.35%,2,No,1,Nemanja Selezan,92057,33.254619,-117.283341,76
76,2016000004,4.0,4.0,LIT 200,Intro to Literature &amp; Creative Writing,27,87.10%,2,No,1,Kathryn Belsey,92057,33.254619,-117.283341,54
77,2016000004,4.0,3.86,ACC 230,Managerial Accounting,27,100%,2,No,1,Darijo Banjac,92057,33.254619,-117.283341,17
78,2016000004,3.7,3.86,BUS 498,Advanced Reading in Business,27,100%,2,No,1,Nemanja Selezan,92057,33.254619,-117.283341,76
79,2016000004,3.7,3.86,MGT 420,Global Business Environment,27,100%,2,No,1,Nemanja Selezan,92057,33.254619,-117.283341,76
80,2016000004,4.0,3.86,MGT 480,Strategic Management,27,81.25%,2,No,1,Adriano Polonia,92057,33.254619,-117.283341,0
81,2016000004,4.0,3.94,MGT 210,Quantitative Business Analysis,27,96.67%,2,No,1,Christos Korgan,92057,33.254619,-117.283341,15
82,2016000004,3.7,3.94,MKT 320,Principles of Marketing,27,100%,2,No,1,Adriano Polonia,92057,33.254619,-117.283341,0
83,2016000004,4.0,3.94,THE 100,Orthodox Christianity,27,82.76%,2,No,1,Robert Fortuin,92057,33.254619,-117.283341,83
84,2016000004,4.0,3.94,WRI 105,College Composition II,27,80%,2,No,1,Bethany Getz,92057,33.254619,-117.283341,10
85,2016000004,0.0,3.94,BIO 100,Natural World: Biology,27,100%,2,No,1,Geoff Bray,92057,33.254619,-117.283341,31
86,2016000004,4.0,3.94,INT 200,Classical Rhetoric,27,77.78%,2,No,1,Evan Getz,92057,33.254619,-117.283341,25
88,2016000004,3.3,3.58,MGT 320,HR and Talent Management,27,85.29%,2,No,1,Thomas Smith,92057,33.254619,-117.283341,89
89,2016000004,4.0,3.58,BUS 499,Senior Capstone,27,100%,2,No,1,Thomas Smith,92057,33.254619,-117.283341,89
90,2016000004,4.0,3.58,INT 310,Modern European Thought &amp; Culture,27,83.33%,2,No,1,Gaelan Gilbert,92057,33.254619,-117.283341,28
91,2016000004,3.0,3.58,THE 105,New Testament,27,0%,2,No,1,Josiah Trenham,92057,33.254619,-117.283341,52
92,2016000004,3.7,3.7,BIO 100,Natural World: Biology,27,61.29%,2,No,1,Nick Szyndlar,92057,33.254619,-117.283341,77
94,2016000005,2.3,3.13,CHE 105,General Chemistry I and LAB,24,100%,3,Yes,1,Geoff Bray,90304,33.937886,-118.35855900000001,31
95,2016000005,4.0,3.13,INT 300,Ethics,24,92.68%,3,Yes,1,Garrett Miller,90304,33.937886,-118.35855900000001,29
96,2016000005,2.3,3.13,KIN 100,Fundamentals of Nutrition,24,96.67%,3,Yes,1,Jessica Rodriguez,90304,33.937886,-118.35855900000001,40
98,2016000005,4.0,3.13,THE 100,Orthodox Christianity,24,96.67%,3,Yes,1,Robert Fortuin,90304,33.937886,-118.35855900000001,83
99,2016000005,0.0,1.82,BIO 110,Introductory Biology II and LAB,24,87.04%,3,Yes,1,Andrew Nosal,90304,33.937886,-118.35855900000001,6
100,2016000005,2.3,1.82,KIN 300,Applied Kinesiology,24,82.76%,3,Yes,1,Jessica Rodriguez,90304,33.937886,-118.35855900000001,40
101,2016000005,1.7,1.82,THE 105,New Testament,24,100%,3,Yes,1,Josiah Trenham,90304,33.937886,-118.35855900000001,52
102,2016000005,4.0,1.82,WRI 105,College Composition II,24,94.12%,3,Yes,1,Min Lee,90304,33.937886,-118.35855900000001,71
103,2016000005,1.7,1.82,INT 310,Modern European Thought &amp; Culture,24,75%,3,Yes,1,Gaelan Gilbert,90304,33.937886,-118.35855900000001,28
105,2016000005,2.0,2.18,ECO 100,Introduction to Economics,24,96.55%,3,Yes,1,Darijo Banjac,90304,33.937886,-118.35855900000001,17
106,2016000005,2.7,2.18,KIN 315,Nutrition for Health &amp; Exercise Performance,24,100%,3,Yes,1,Nick Szyndlar,90304,33.937886,-118.35855900000001,77
107,2016000005,2.3,2.18,KIN 325,Motor Control &amp; Learning,24,96.30%,3,Yes,1,Jessica Rodriguez,90304,33.937886,-118.35855900000001,40
108,2016000005,1.7,2.18,KIN 350,Measurments and Evaluation in Kinesiology,24,78.57%,3,Yes,1,Josh Dexheimer,90304,33.937886,-118.35855900000001,50
110,2016000005,3.7,2.99,BIO 310,Human Physiology and Anatomy II,24,92.86%,3,Yes,1,Natalia Volodina,90304,33.937886,-118.35855900000001,73
111,2016000005,3.7,2.99,CHE 110,General Chemistry II and LAB,24,0%,3,Yes,1,Geoff Bray,90304,33.937886,-118.35855900000001,31
112,2016000005,3.0,2.99,KIN 240,Exercise Physiology and LAB,24,100%,3,Yes,1,Josh Dexheimer,90304,33.937886,-118.35855900000001,50
113,2016000005,2.0,2.99,KIN 370,Health and Fitness Across the Lifespan,24,93.18%,3,Yes,1,Jessica Rodriguez,90304,33.937886,-118.35855900000001,40
114,2016000005,2.3,2.99,KIN 380,Socio-Phychological Aspects of Sport &amp; Physical Activity,24,100%,3,Yes,1,Jessica Rodriguez,90304,33.937886,-118.35855900000001,40
116,2016000005,3.0,3.67,KIN 340,Principles of Health Promotion,24,71.88%,3,Yes,1,Michael Massis,90304,33.937886,-118.35855900000001,66
117,2016000005,4.0,3.67,KIN 460,Internship,24,0%,3,Yes,1,Jessica Rodriguez,90304,33.937886,-118.35855900000001,40
118,2016000005,4.0,3.67,KIN 490,Research Methods I,24,100%,3,Yes,1,Jessica Rodriguez,90304,33.937886,-118.35855900000001,40
119,2016000005,4.0,0.0,KIN 360,Health Concepts &amp; Disease Prevention,24,0%,3,Yes,1,Jessica Rodriguez,90304,33.937886,-118.35855900000001,40
120,2016000005,0.0,0.0,KIN 499,Senior Thesis,24,100%,3,Yes,1,Jessica Rodriguez,90304,33.937886,-118.35855900000001,40
122,2016000005,4.0,0.0,Chapel,Chapel,24,0%,3,Yes,1,John Reimann,90304,33.937886,-118.35855900000001,46
123,2016000006,3.0,2.49,FRS 100,Freshman Seminar,20,100%,2,No,4,Breann Williams,92530,33.649528000000004,-117.376774,12
124,2016000006,1.7,2.49,INT 100,Interdisciplinary Studies,20,100%,2,No,4,Gaelan Gilbert,92530,33.649528000000004,-117.376774,28
126,2016000006,4.0,2.49,WRI 090,Intermediate Composition,20,100%,2,No,4,Kathryn Belsey,92530,33.649528000000004,-117.376774,54
127,2016000006,0.0,2.49,BIO 105,Introductory Biology I and LAB,20,94.44%,2,No,4,Andrew Nosal,92530,33.649528000000004,-117.376774,6
128,2016000006,0.7,2.49,CHE 105,General Chemistry I and LAB,20,100%,2,No,4,Geoff Bray,92530,33.649528000000004,-117.376774,31
130,2016000006,2.7,2.78,ART 100,Intro to Studio Art &amp; Art History,20,100%,2,No,4,Jelena Gazivoda,92530,33.649528000000004,-117.376774,39
131,2016000006,1.7,2.78,HIS 200,Special Topics: Civil War and Reconstruction Era,20,94.29%,2,No,4,Breann Williams,92530,33.649528000000004,-117.376774,12
132,2016000006,2.7,2.78,INT 110,Critical Reasoning,20,89.66%,2,No,4,Garrett Miller,92530,33.649528000000004,-117.376774,29
133,2016000006,0.0,2.78,MTH 100,College Algebra,20,100%,2,No,4,Michael Reedy,92530,33.649528000000004,-117.376774,67
134,2016000006,4.0,2.78,WRI 100,College Composition I,20,90.48%,2,No,4,Min Lee,92530,33.649528000000004,-117.376774,71
136,2016000007,2.7,2.99,INT 200,Classical Rhetoric,25,82.35%,3,Yes,0,Gaelan Gilbert,92118,32.699234000000004,-117.20964199999999,28
138,2016000007,4.0,2.99,THE 100,Orthodox Christianity,25,93.33%,3,Yes,0,Robert Fortuin,92118,32.699234000000004,-117.20964199999999,83
139,2016000007,1.7,2.99,CHE 105,General Chemistry I and LAB,25,93.94%,3,Yes,0,Geoff Bray,92118,32.699234000000004,-117.20964199999999,31
141,2016000007,2.0,2.56,BIO 110,Introductory Biology II and LAB,25,94.44%,3,Yes,0,Andrew Nosal,92118,32.699234000000004,-117.20964199999999,6
142,2016000007,1.7,2.56,CHE 110,General Chemistry II and LAB,25,100%,3,Yes,0,Geoff Bray,92118,32.699234000000004,-117.20964199999999,31
143,2016000007,4.0,2.56,INT 210,Western Civilization &amp; the Formation of Christendom,25,100%,3,Yes,0,David Williams,92118,32.699234000000004,-117.20964199999999,20
144,2016000007,3.0,2.56,THE 105,New Testament,25,100%,3,Yes,0,Josiah Trenham,92118,32.699234000000004,-117.20964199999999,52
146,2016000007,4.0,2.56,BIO 390,Journal Club and Scientific Writing,25,100%,3,Yes,0,Geoff Bray,92118,32.699234000000004,-117.20964199999999,31
147,2016000007,3.3,2.64,BIO 305,Human Physiology &amp; Anatomy I,25,100%,3,Yes,0,Natalia Volodina,92118,32.699234000000004,-117.20964199999999,73
148,2016000007,2.0,2.64,CHE 300,Biochemistry I and LAB,25,100%,3,Yes,0,Kaitlin Fisher,92118,32.699234000000004,-117.20964199999999,53
149,2016000007,2.7,2.64,INT 300,Ethics,25,89.29%,3,Yes,0,Garrett Miller,92118,32.699234000000004,-117.20964199999999,29
150,2016000007,3.0,2.64,BIO 300,Book Study,25,0%,3,Yes,0,Geoff Bray,92118,32.699234000000004,-117.20964199999999,31
152,2016000007,3.7,2.37,BIO 225,Genetics and Genomes,25,95.35%,3,Yes,0,Natalia Volodina,92118,32.699234000000004,-117.20964199999999,73
153,2016000007,3.0,2.37,BIO 310,Human Physiology and Anatomy II,25,96.43%,3,Yes,0,Natalia Volodina,92118,32.699234000000004,-117.20964199999999,73
154,2016000007,1.3,2.37,CHE 301,Biochemistry II,25,100%,3,Yes,0,Mark Williams,92118,32.699234000000004,-117.20964199999999,63
155,2016000007,1.0,2.37,SPA 105,Spanish II,25,96.77%,3,Yes,0,David Orozco,92118,32.699234000000004,-117.20964199999999,19
157,2016000007,3.3,2.37,MTH 210,Calculus II,25,88.89%,3,Yes,0,Evan Getz,92118,32.699234000000004,-117.20964199999999,25
158,2016000007,2.0,2.91,BIO 415,Molecular Biology,25,100%,3,Yes,0,Gor Sarkisyan,92118,32.699234000000004,-117.20964199999999,33
159,2016000007,2.0,2.91,BIO 425,Cell Biology,25,97.83%,3,Yes,0,Gor Sarkisyan,92118,32.699234000000004,-117.20964199999999,33
160,2016000007,4.0,2.91,BIO 496,Senior Thesis,25,0%,3,Yes,0,Frank Papatheofanis,92118,32.699234000000004,-117.20964199999999,27
161,2016000007,4.0,2.91,INT 350,"The American Experiment in Politics, Culture &amp; Religion",25,100%,3,Yes,0,David Williams,92118,32.699234000000004,-117.20964199999999,20
162,2016000007,4.0,2.91,Chapel,Chapel,25,93.94%,3,Yes,0,John Reimann,92118,32.699234000000004,-117.20964199999999,46
163,2016000007,0.0,0.0,BIO 497,Senior Thesis II,25,0%,3,Yes,0,Gor Sarkisyan,92118,32.699234000000004,-117.20964199999999,33
164,2016000007,0.0,0.0,CHE 301,Biochemistry II,25,100%,3,Yes,0,Gor Sarkisyan,92118,32.699234000000004,-117.20964199999999,33
165,2016000007,0.0,0.0,PSY 150,Introduction to Psychology,25,100%,3,Yes,0,Mili Metz,92118,32.699234000000004,-117.20964199999999,70
166,2016000007,4.0,0.0,Chapel,Chapel,25,0%,3,Yes,0,John Reimann,92118,32.699234000000004,-117.20964199999999,46
167,2016000008,2.7,2.48,FRS 100,Freshman Seminar,21,93.75%,3,No,1,Breann Williams,92843,33.763905,-117.93138200000001,12
168,2016000008,1.7,2.48,INT 100,Interdisciplinary Studies,21,88.24%,3,No,1,Gaelan Gilbert,92843,33.763905,-117.93138200000001,28
170,2016000008,0.7,2.48,WRI 100,College Composition I,21,80.77%,3,No,1,Kathryn Belsey,92843,33.763905,-117.93138200000001,54
171,2016000008,2.3,2.48,BIO 105,Introductory Biology I and LAB,21,93.75%,3,No,1,Andrew Nosal,92843,33.763905,-117.93138200000001,6
173,2016000008,4.0,2.48,THE 100,Orthodox Christianity,21,86.67%,3,No,1,Robert Fortuin,92843,33.763905,-117.93138200000001,83
174,2016000008,0.0,1.62,BIO 110,Introductory Biology II and LAB,21,90.74%,3,No,1,Andrew Nosal,92843,33.763905,-117.93138200000001,6
175,2016000008,1.7,1.62,INT 110,Critical Reasoning,21,84.38%,3,No,1,Garrett Miller,92843,33.763905,-117.93138200000001,29
176,2016000008,3.0,1.62,KIN 150,Intro to Athletic Training,21,93.75%,3,No,1,Josh Koeplin-Day,92843,33.763905,-117.93138200000001,51
177,2016000008,2.3,1.62,MTH 105,Introduction to Statistics,21,97.22%,3,No,1,Christos Korgan,92843,33.763905,-117.93138200000001,15
178,2016000008,0.0,1.62,THE 105,New Testament,21,85.71%,3,No,1,Josiah Trenham,92843,33.763905,-117.93138200000001,52
180,2016000009,1.0,1.97,BIO 105,Introductory Biology I and LAB,22,95.83%,2,Yes,0,Andrew Nosal,94589,38.18735,-122.224074,6
181,2016000009,0.7,1.97,CHE 105,General Chemistry I and LAB,22,100%,2,Yes,0,Geoff Bray,94589,38.18735,-122.224074,31
182,2016000009,2.3,1.97,INT 100,Interdisciplinary Studies,22,94.12%,2,Yes,0,Gaelan Gilbert,94589,38.18735,-122.224074,28
184,2016000009,3.3,1.97,THE 100,Orthodox Christianity,22,93.33%,2,Yes,0,Robert Fortuin,94589,38.18735,-122.224074,83
186,2016000009,3.3,3.12,KIN 300,Applied Kinesiology,22,100%,2,Yes,0,Jessica Rodriguez,94589,38.18735,-122.224074,40
187,2016000009,2.0,3.12,THE 105,New Testament,22,100%,2,Yes,0,Josiah Trenham,94589,38.18735,-122.224074,52
188,2016000009,3.7,3.12,WRI 105,College Composition II,22,100%,2,Yes,0,Min Lee,94589,38.18735,-122.224074,71
189,2016000009,3.3,3.12,KIN 150,Intro to Athletic Training,22,100%,2,Yes,0,Josh Koeplin-Day,94589,38.18735,-122.224074,51
191,2016000009,3.3,3.12,INT 110,Critical Reasoning,22,82.76%,2,Yes,0,Garrett Miller,94589,38.18735,-122.224074,29
192,2016000009,2.7,2.6,KIN 350,Measurments and Evaluation in Kinesiology,22,85.71%,2,Yes,0,Josh Dexheimer,94589,38.18735,-122.224074,50
193,2016000009,1.7,2.6,BIO 100,Natural World: Biology,22,100%,2,Yes,0,Geoff Bray,94589,38.18735,-122.224074,31
194,2016000009,3.0,2.6,KIN 315,Nutrition for Health &amp; Exercise Performance,22,96.67%,2,Yes,0,Nick Szyndlar,94589,38.18735,-122.224074,77
195,2016000009,3.0,2.6,KIN 325,Motor Control &amp; Learning,22,100%,2,Yes,0,Jessica Rodriguez,94589,38.18735,-122.224074,40
196,2016000009,3.7,3.03,INT 210,Western Civilization &amp; the Formation of Christendom,22,97.83%,2,Yes,0,David Williams,94589,38.18735,-122.224074,20
197,2016000009,1.7,3.03,INT 310,Modern European Thought &amp; Culture,22,96.88%,2,Yes,0,Gaelan Gilbert,94589,38.18735,-122.224074,28
198,2016000009,2.7,3.03,KIN 275,Fundamentals of Strength &amp; Conditioning &amp; Ex Prescription,22,100%,2,Yes,0,Nick Szyndlar,94589,38.18735,-122.224074,77
199,2016000009,4.0,3.03,KIN 460,Internship,22,100%,2,Yes,0,Jessica Rodriguez,94589,38.18735,-122.224074,40
201,2016000009,2.7,3.23,BIO 305,Human Physiology &amp; Anatomy I,22,97.73%,2,Yes,0,Brady Rice,94589,38.18735,-122.224074,11
202,2016000009,3.7,3.23,INT 350,"The American Experiment in Politics, Culture &amp; Religion",22,100%,2,Yes,0,David Williams,94589,38.18735,-122.224074,20
203,2016000009,4.0,3.23,KIN 330,Prevention &amp; Care of Injuries,22,97.44%,2,Yes,0,Josh Koeplin-Day,94589,38.18735,-122.224074,51
204,2016000009,2.7,3.23,PHY 105,Physics I and LAB,22,100%,2,Yes,0,Kelly DeGrassie,94589,38.18735,-122.224074,57
205,2016000009,4.0,0.0,BIO 310,Human Physiology and Anatomy II,22,100%,2,Yes,0,Joseph Moon,94589,38.18735,-122.224074,49
206,2016000009,0.0,0.0,KIN 240,Exercise Physiology and LAB,22,100%,2,Yes,0,Michael Massis,94589,38.18735,-122.224074,66
207,2016000009,0.0,0.0,KIN 320,Biomechanics,22,100%,2,Yes,0,Michael Massis,94589,38.18735,-122.224074,66
209,2016000010,2.7,3.17,ACC 220,Financial Accounting,23,87.50%,2,Yes,0,Darijo Banjac,94558,38.442011,-122.23832,17
211,2016000010,2.7,3.17,ECO 115,Principles of Macroeconomics,23,90%,2,Yes,0,Radu Munteanu,94558,38.442011,-122.23832,81
212,2016000010,3.0,3.17,MGT 100,Foundations of Business,23,94.12%,2,Yes,0,Nemanja Selezan,94558,38.442011,-122.23832,76
213,2016000010,4.0,3.17,SPA 100,Spanish I,23,100%,2,Yes,0,David Orozco,94558,38.442011,-122.23832,19
214,2016000010,3.0,3.18,ACC 230,Managerial Accounting,23,90%,2,Yes,0,Darijo Banjac,94558,38.442011,-122.23832,17
215,2016000010,3.0,3.18,ECO 110,Principles of Microeconomics,23,96.67%,2,Yes,0,Darijo Banjac,94558,38.442011,-122.23832,17
216,2016000010,3.7,3.18,INT 210,Western Civilization &amp; the Formation of Christendom,23,90.63%,2,Yes,0,David Williams,94558,38.442011,-122.23832,20
218,2016000010,3.0,3.18,THE 105,New Testament,23,85.71%,2,Yes,0,Josiah Trenham,94558,38.442011,-122.23832,52
219,2016000010,3.0,2.95,BUS 305,Business Law,23,100%,2,Yes,0,Marisa Poulos,94558,38.442011,-122.23832,61
220,2016000010,3.3,2.95,INT 300,Ethics,23,85.71%,2,Yes,0,Garrett Miller,94558,38.442011,-122.23832,29
221,2016000010,2.7,2.95,MGT 210,Quantitative Business Analysis,23,93.33%,2,Yes,0,Christos Korgan,94558,38.442011,-122.23832,15
222,2016000010,2.0,2.95,MGT 270,Management Information Systems,23,0%,2,Yes,0,Goncalo Mendes,94558,38.442011,-122.23832,32
223,2016000010,3.7,2.95,THE 100,Orthodox Christianity,23,86.21%,2,Yes,0,Robert Fortuin,94558,38.442011,-122.23832,83
225,2016000010,3.0,2.95,MKT 320,Principles of Marketing,23,93.33%,2,Yes,0,Adriano Polonia,94558,38.442011,-122.23832,0
226,2016000010,3.7,3.4,BUS 310,Leadership and Business Ethics,23,97.06%,2,Yes,0,John Dempsey,94558,38.442011,-122.23832,44
227,2016000010,3.0,3.4,MGT 320,HR and Talent Management,23,70.59%,2,Yes,0,Thomas Smith,94558,38.442011,-122.23832,89
228,2016000010,3.3,3.4,MGT 480,Strategic Management,23,78.79%,2,Yes,0,Thomas Smith,94558,38.442011,-122.23832,89
229,2016000010,3.0,3.4,MGT 315,Organizational Behavior,23,80.39%,2,Yes,0,Thomas Smith,94558,38.442011,-122.23832,89
230,2016000010,4.0,3.4,MTH 315,Biostatistics,23,87.50%,2,Yes,0,Evan Getz,94558,38.442011,-122.23832,25
231,2016000010,2.3,2.77,BUS 499,Senior Capstone,23,93.75%,2,Yes,0,Thomas Smith,94558,38.442011,-122.23832,89
